Searchterm,Impressions,Clicks,Cost,Conversions,ConversionValue,CTR,CPC,CostPerConversion,Campaigns,AdGroups,MatchedKeywords,MatchTypes,QueryTargetingStatuses,NumRows
new bridge clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrated doctor,phrase (close variant),None,1
newbridge clinic edina mn,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Women's Health & Hormones,female naturopath | functional medicine near me,broad,None,2
newellnessmpls,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
nicollet clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
north memorial and sanford,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative doctor,broad,None,1
north memorial clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine doctors in my area,broad,None,1
north memorial clinic blaine minnesota,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
north memorial clinic plymouth mn,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
north memorial clinics,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro | Naturopath Near Me — Core,alternative medicine near me | functional medicine doctor eden prairie | integrative health near me | naturalist dr near me,broad,None,4
north memorial health clinic near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
north memorial health clinics,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative doctor,broad,None,1
north memorial health maple grove,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
north memorial health near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors in my area,broad,None,1
north memorial health specialty center,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
northeast community acupuncture,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,natural functional doctor,broad,None,1
northern medical,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor in my area,broad,None,1
northpoint,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine practitioner,broad,None,1
northshore medical,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine doctors in my area,broad,None,1
northshore near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine clinic near me,broad,None,1
northwestern clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medical,broad,None,1
northwestern functional medicine,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative doctor,phrase (close variant),None,1
northwestern health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative doctor,broad,None,1
nourish dietician,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
nova health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative health near me,broad,None,1
nutrient blood test,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors in my area,broad,None,1
nutrition clinic near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors in my area | functional medicine doctors near me | integrative health near me,broad,None,3
nutrition coach,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,natural functional doctor,broad,None,1
nutrition counseling minneapolis,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medical physician,broad,None,1
nutrition health coach,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
nutrition near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me | functional medicine near me,broad,None,2
nutrition response testing near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
nutrition specialist near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
nutrition workshop,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative doctor,broad,None,1
nutritional deficiency test,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
nutritional testing near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative medicine near me,broad,None,1
nutritional therapy,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative doctor,broad,None,1
nutritional therapy practitioner,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Women's Health & Hormones,female naturopath near me | integrative medicine doctors in my area,broad,None,2
nuwell,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
oak street health care,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors in my area,broad,None,1
oak street health locations,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
oak street health minneapolis,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me | functional medicine practitioner,broad,None,2
oakhealth,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
odam medical,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine clinic near me,broad,None,1
oksana shirokova,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional holistic medicine,phrase (close variant),None,1
oncology naturopath near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine doctors in my area,phrase (close variant),None,1
optum eden prairie,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor in my area,broad,None,1
osteopath minneapolis,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine doctors in my area,broad,None,1
osteopathic medicine,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional holistic medicine,broad,None,1
osteopaths in my area,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Naturopath Near Me — Core,alternative medicine near me | integrative medicine doctors in my area,broad | phrase (close variant),None,2
osteoporosis treatment near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
over 40 health check,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative health near me,broad,None,1
panchakarma therapy,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional holistic medicine,broad,None,1
panchkarma,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicines,broad,None,1
parasite cleanse near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine doctors in my area,broad,None,1
parasite clinic near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
park and nicollet clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine doctors in my area,broad,None,1
park nicollet find a doctor,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Naturopath Near Me — Core,best naturopath near me | natural functional doctor,broad,None,2
park nicollet physicians,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
park nicollet st louis park phone number,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,best functional doctors near me | functional medicine doctor eden prairie,broad,None,2
parkinson homeopathy,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
parsley functional medicine,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,phrase,None,1
patients,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative medicine near me,broad,None,1
penny george institute locations,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine near me,broad,None,1
peoples clinic,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,functional medicine doctor edina | functional medicine doctors near me,broad,None,2
peripheral neuropathy,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
perrin technique near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Naturopath Near Me — Core,alternative medicine near me | functional medicine near me,broad | phrase (close variant),None,2
peter osborne,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
phenomenal healing,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,natural functional doctor,broad,None,1
physician near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative medicine near me,broad,None,1
physicians & surgeons family medicine & general practice minneapolis mn,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
pipe trades family health & wellness center,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor,broad,None,1
plant based doctor,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors in my area,broad,None,1
plymouth doctors office,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative health near me,broad,None,1
pots functional medicine,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,phrase,None,1
poweroflife,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
pranic healing near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional holistic medicine,broad,None,1
precision health care,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative medicine near me | functional medical physician,broad,None,2
premier health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative medicine near me,broad,None,1
pressure points to relieve migraine headaches,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative doctor,broad,None,1
preventive care,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
preventive care specialist,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
primary care doctor,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Pediatrics,functional medicine near me | pediatric holistic doctor near me,broad,None,2
primary care holistic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrated doctor,phrase (close variant),None,1
primary care holistic near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine near me,phrase (close variant),None,1
primary care near me accepting new patients,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
primary care physicians near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Naturopath Near Me — Core,alternative medicine doctors near me | functional doctor in my area,broad,None,2
primary clinics near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medical clinic,broad,None,1
primary health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine doctors in my area,broad,None,1
primary health provider,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine doctors in my area,broad,None,1
pritikin longevity center,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
private diagnostic clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
private healthcare clinics near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
private medicine near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medical clinic | functional medicine doctors near me,broad,None,2
private physicians near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine near me,broad,None,1
private practice doctors near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative medicine near me | integrative medicine near me,broad,None,2
professor thomas seyfried metabolic therapy,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional doctor,broad,None,1
psinergy natural health & holistic wellness psinergy health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine doctors in my area,broad,None,1
pure health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative health near me,broad,None,1
pure health chiropractic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
qigong minneapolis,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,functional medicine near me | holistic medicine Minneapolis | integrative medicine near me,broad,None,3
qnrt therapy near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine near me,broad,None,1
quantum healing,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine near me,broad,None,1
quantum reflex analysis near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
quantum wellness,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative doctor,broad,None,1
queen afua,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,natural functional doctor,broad,None,1
quest health near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,best functional doctors near me,broad,None,1
ray himmelman,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
re clinic near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
real health clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,broad,None,1
recode practitioners near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors in my area,phrase (close variant),None,1
